id,title,description,availability,condition,price,link,image_link,brand,product_type,size,gender,age_group,custom_label_0,custom_label_1
perfume-armaf-club-de-nuit-intense-man,Armaf Club de Nuit Intense Man (105 ml · EDT),O fenômeno árabe: abacaxi esfumado sobre bétula e madeiras. Projeção e fixação enormes — presença que rende elogios o dia inteiro.,in stock,new,279.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-intense-man,https://kdol380.github.io/duna-site/assets/p-club-intense-new.jpg,Armaf,Perfumes > Frasco,105 ml · EDT,male,adult,perfume,disponivel
perfume-armaf-club-de-nuit-maleka,Armaf Club de Nuit Maleka (100 ml · EDP),"Floral-frutado luminoso e moderno: lichia e pimenta rosa sobre íris e praliné. Feminino elegante, do dia à noite.",in stock,new,339.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-maleka,https://kdol380.github.io/duna-site/assets/p-club-maleka.jpg,Armaf,Perfumes > Frasco,100 ml · EDP,female,adult,perfume,disponivel
perfume-armaf-club-de-nuit-urban-man-elixir,Armaf Club de Nuit Urban Man Elixir (105 ml · EDP),"Aromático masculino de presença forte, com cítricos e pimenta rosa sobre lavanda, açafrão, ambroxan e madeiras. Versátil, moderno e marcante.",in stock,new,389.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-urban-man-elixir,https://kdol380.github.io/duna-site/assets/p-club-urban-elixir.jpg,Armaf,Perfumes > Frasco,105 ml · EDP,male,adult,perfume,disponivel
perfume-armaf-club-de-nuit-sillage,Armaf Club de Nuit Sillage (105 ml · EDP),"Fresco e gelado, combina uma abertura cítrica vibrante com flores elegantes e um fundo limpo de ambroxan, almíscar e madeiras. Masculino segundo a votação da comunidade.",in stock,new,339.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-sillage,https://kdol380.github.io/duna-site/assets/p-club-sillage.jpg,Armaf,Perfumes > Frasco,105 ml · EDP,male,adult,perfume,disponivel
perfume-armaf-club-de-nuit-sillage-body-spray,Armaf Club de Nuit Sillage Body Spray (125 ml · Body Spray),A fragrância fresca e elegante do Club de Nuit Sillage em uma versão corporal mais leve e prática. Ideal para reaplicar durante o dia e prolongar a sensação de frescor.,in stock,new,89.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-sillage-body-spray,https://kdol380.github.io/duna-site/assets/p-club-sillage-body-spray.webp,Armaf,Perfumes > Body Spray,125 ml · Body Spray,male,adult,perfume,disponivel
perfume-armaf-club-de-nuit-untold,Armaf Club de Nuit Untold (105 ml · EDP),"Açafrão e jasmim formam uma aura doce e metálica sobre âmbar e madeiras. Intenso, envolvente e versátil para diferentes estilos.",in stock,new,369.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-untold,https://kdol380.github.io/duna-site/assets/p-club-untold.jpg,Armaf,Perfumes > Frasco,105 ml · EDP,unisex,adult,perfume,disponivel
perfume-armaf-club-de-nuit-white-imperiale,Armaf Club de Nuit White Imperiale (105 ml · EDP),"Rosa cremosa, lichia e baunilha formam uma fragrância feminina elegante e envolvente. O incenso e as madeiras dão profundidade e muita presença.",in stock,new,329.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-club-de-nuit-white-imperiale,https://kdol380.github.io/duna-site/assets/p-club-white-imperiale.jpg,Armaf,Perfumes > Frasco,105 ml · EDP,female,adult,perfume,disponivel
perfume-armaf-odyssey-mandarin-sky,Armaf Odyssey Mandarin Sky (100 ml · EDP),"Mandarina vibrante e especiarias encontram um coração cremoso de caramelo e fava tonka. Masculino doce, moderno e marcante para a noite.",in stock,new,259.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=armaf-odyssey-mandarin-sky,https://kdol380.github.io/duna-site/assets/p-odyssey-mandarin-sky.jpg,Armaf,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-aisha-princess,Bidaya Parfums Aisha Princess (100 ml · EDP),"Floral gourmand feminino, com flores brancas, marshmallow e baunilha sobre um fundo de açúcar, caramelo e madeiras. Doce, delicado e envolvente.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-aisha-princess,https://kdol380.github.io/duna-site/assets/p-aisha-princess.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,female,adult,perfume,disponivel
perfume-bidaya-parfums-ayat,Bidaya Parfums Ayat (100 ml · EDP),"Hibisco e rosa ganham frescor com hortelã e cassis, enquanto baunilha, canela, âmbar e couro deixam a fragrância feminina mais quente e sofisticada.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-ayat,https://kdol380.github.io/duna-site/assets/p-bidaya-ayat.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,female,adult,perfume,disponivel
perfume-bidaya-parfums-blind-ecstasy,Bidaya Parfums Blind Ecstasy (100 ml · EDP),"Conhaque e frutas vermelhas abrem uma fragrância masculina intensa, cercada por especiarias, baunilha, âmbar e madeiras. Quente e ideal para ocasiões especiais.",in stock,new,449.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-blind-ecstasy,https://kdol380.github.io/duna-site/assets/p-blind-ecstasy.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-elliur,Bidaya Parfums Elliur (100 ml · EDP),"Cítricos, cassis e hortelã criam uma abertura fresca e vibrante, seguida por figo, damasco e ervas aromáticas. Masculino leve, diferente e ótimo para o dia.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-elliur,https://kdol380.github.io/duna-site/assets/p-bidaya-elliur.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-habibi-king,Bidaya Parfums Habibi King (100 ml · EDP),"Especiarias quentes encontram baunilha Bourbon, praliné e amêndoa caramelizada. Um gourmand masculino intenso, cremoso e marcante para a noite.",in stock,new,319.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-habibi-king,https://kdol380.github.io/duna-site/assets/p-habibi-king.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-habibi-prince,Bidaya Parfums Habibi Prince (100 ml · EDP),"Fresco verde e aquático com hortelã, coco e figo, finalizado por especiarias e madeiras. Masculino moderno, confortável e versátil para os dias quentes.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-habibi-prince,https://kdol380.github.io/duna-site/assets/p-habibi-prince.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-maktub-gold,Bidaya Parfums Maktub Gold (100 ml · EDP),"Cítricos luminosos e gengibre evoluem para pera, especiarias e uma base cremosa de baunilha e madeiras. Masculino elegante, versátil e marcante.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-maktub-gold,https://kdol380.github.io/duna-site/assets/p-maktub-gold.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-maktub-la-vie,Bidaya Parfums Maktub La Vie (100 ml · EDP),"Manga e frutas tropicais ganham brilho cítrico, especiarias e um fundo de âmbar, almíscar e cedro. Masculino frutado, vibrante e de presença marcante.",in stock,new,309.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-maktub-la-vie,https://kdol380.github.io/duna-site/assets/p-maktub-la-vie.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-bidaya-parfums-vanilla-p-rn,Bidaya Parfums Vanilla P*rn (100 ml · EDP),"Uma baunilha intensa e cremosa, acompanhada por coco, leite e um toque atalcado. O palo santo e o almíscar equilibram a doçura no fundo.",in stock,new,449.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=bidaya-parfums-vanilla-p-rn,https://kdol380.github.io/duna-site/assets/p-vanilla-prn.jpg,Bidaya Parfums,Perfumes > Frasco,100 ml · EDP,unisex,adult,perfume,disponivel
perfume-lattafa-khamrah,Lattafa Khamrah (100 ml · EDP),"Canela e tâmaras se misturam a praliné, baunilha e resinas quentes. Um gourmand masculino intenso, adocicado e envolvente para noites e ocasiões especiais.",in stock,new,234.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=lattafa-khamrah,https://kdol380.github.io/duna-site/assets/p-khamrah.jpg,Lattafa,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-lattafa-khamrah-qahwa,Lattafa Khamrah Qahwa (100 ml · EDP),"Café, baunilha e praliné aparecem cercados por canela, cardamomo e gengibre. Masculino quente, doce e marcante, perfeito para a noite.",in stock,new,224.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=lattafa-khamrah-qahwa,https://kdol380.github.io/duna-site/assets/p-khamrah-qahwa-new.jpg,Lattafa,Perfumes > Frasco,100 ml · EDP,male,adult,perfume,disponivel
perfume-lattafa-queen-of-arabia,Lattafa Queen of Arabia (100 ml · EDP),"Coco com um toque salgado encontra heliotrópio, sândalo e baunilha. Feminino cremoso, sofisticado e envolvente, com apresentação luxuosa.",in stock,new,649.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=lattafa-queen-of-arabia,https://kdol380.github.io/duna-site/assets/p-queen-of-arabia.jpg,Lattafa,Perfumes > Frasco,100 ml · EDP,female,adult,perfume,disponivel
perfume-lattafa-haya,Lattafa Haya (100 ml · EDP),"Champanhe, morango e cítricos abrem um floral feminino alegre e luminoso. Gardênia, jasmim e baunilha deixam o perfume cremoso e elegante.",in stock,new,239.00 BRL,https://kdol380.github.io/duna-site/catalogo.html?produto=lattafa-haya,https://kdol380.github.io/duna-site/assets/p-haya.jpg,Lattafa,Perfumes > Frasco,100 ml · EDP,female,adult,perfume,disponivel
